time,bus_voltage
2019-09-20 05:56:52.357577,9.824
2019-09-20 06:01:52.459907,9.82
2019-09-20 06:06:52.562156,9.82
2019-09-20 06:11:52.665699,9.82
2019-09-20 06:16:52.705710,9.816
2019-09-20 06:21:52.808001,9.816
2019-09-20 06:26:52.910388,9.812
2019-09-20 06:31:53.012677,9.816
2019-09-20 06:36:53.114969,9.816
2019-09-20 06:41:53.217263,9.808
2019-09-20 06:46:53.319536,9.808
2019-09-20 06:51:53.421803,9.808
2019-09-20 06:56:53.524061,9.808
2019-09-20 07:01:53.626317,9.804
2019-09-20 07:06:53.728591,9.808
2019-09-20 07:11:53.830937,9.8
2019-09-20 07:16:53.933194,9.796
2019-09-20 07:21:54.019363,9.796
2019-09-20 07:26:54.121618,9.8
2019-09-20 07:31:54.223888,9.796
2019-09-20 07:36:54.326107,9.796
2019-09-20 07:41:54.428347,9.792
2019-09-20 07:46:54.530706,9.792
2019-09-20 07:51:54.632967,9.792
2019-09-20 07:56:54.735222,9.792
2019-09-20 08:01:54.837482,9.792
2019-09-20 08:06:54.939750,9.788
2019-09-20 08:11:55.042010,9.78
2019-09-20 08:16:55.144271,9.784
2019-09-20 08:21:55.246542,9.784
2019-09-20 08:26:55.348897,9.78
2019-09-20 08:31:55.451102,9.784
2019-09-20 08:36:55.553318,9.776
2019-09-20 08:41:55.655563,9.776
2019-09-20 08:46:55.757813,9.78
2019-09-20 08:51:55.860147,9.776
2019-09-20 08:56:55.962408,9.772
2019-09-20 09:01:56.064691,9.772
2019-09-20 09:06:56.167017,9.772
2019-09-20 09:11:56.269318,9.776
2019-09-20 09:16:56.371625,9.768
2019-09-20 09:21:56.473900,9.776
2019-09-20 09:26:56.576187,9.776
2019-09-20 09:31:56.678469,9.776
2019-09-20 09:36:56.705508,9.772
2019-09-20 09:41:56.807790,9.772
2019-09-20 09:46:56.910150,9.772
2019-09-20 09:51:57.012403,9.772
2019-09-20 09:56:57.114685,9.764
2019-09-20 10:01:57.216949,9.772
2019-09-20 10:06:57.319205,9.78
2019-09-20 10:11:57.421473,9.764
2019-09-20 10:16:57.523747,9.784
2019-09-20 10:21:57.626028,9.784
2019-09-20 10:26:57.728303,9.78
2019-09-20 10:31:57.830708,9.78
2019-09-20 10:36:57.932990,9.784
2019-09-20 10:41:58.035261,9.78
2019-09-20 10:46:58.137544,9.772
2019-09-20 10:51:58.239992,9.776
2019-09-20 10:56:58.342265,9.772
2019-09-20 11:01:58.444521,9.776
2019-09-20 11:06:58.546780,9.768
2019-09-20 11:11:58.649065,9.772
2019-09-20 11:16:58.751338,9.768
2019-09-20 11:21:58.853612,9.764
2019-09-20 11:26:58.856239,9.764
2019-09-20 11:31:58.958487,9.764
2019-09-20 11:36:59.060861,9.76
2019-09-20 11:41:59.163137,9.756
2019-09-20 11:46:59.265390,9.76
2019-09-20 11:51:59.367649,9.76
2019-09-20 11:56:59.470021,9.76
2019-09-20 12:01:59.572280,9.756
2019-09-20 12:06:59.674520,9.752
2019-09-20 12:11:59.776756,9.76
2019-09-20 12:16:59.879084,9.756
2019-09-20 12:21:59.981391,9.764
2019-09-20 12:27:00.083670,9.764
2019-09-20 12:32:00.185945,9.744
2019-09-20 12:37:00.288205,9.772
2019-09-20 12:42:00.390580,9.76
2019-09-20 12:47:00.492840,9.772
2019-09-20 12:52:00.595121,9.776
2019-09-20 12:57:00.697402,9.76
2019-09-20 13:02:00.705142,9.748
2019-09-20 13:07:00.807409,9.768
2019-09-20 13:12:00.909675,9.764
2019-09-20 13:17:01.012003,9.756
2019-09-20 13:22:01.114300,9.764
2019-09-20 13:27:01.216572,9.752
2019-09-20 13:32:01.318899,9.756
2019-09-20 13:37:01.420607,9.744
2019-09-20 13:42:01.522026,9.74
2019-09-20 13:47:01.623447,9.748
2019-09-20 13:52:01.724855,9.736
2019-09-20 13:57:01.826273,9.744
2019-09-20 14:02:01.871746,9.74
2019-09-20 14:07:01.973183,9.74
2019-09-20 14:12:02.075463,9.744
2019-09-20 14:17:02.177720,9.732
2019-09-20 14:22:02.280067,9.732
2019-09-20 14:27:02.382325,9.732
2019-09-20 14:32:02.484585,9.728
2019-09-20 14:37:02.586844,9.724
2019-09-20 14:42:02.689092,9.72
2019-09-20 14:47:02.791360,9.72
2019-09-20 14:52:02.893634,9.716
2019-09-20 14:57:02.995914,9.712
2019-09-20 15:02:03.098162,9.708
2019-09-20 15:07:03.200547,9.704
2019-09-20 15:12:03.302818,9.704
